African Country,Non-African Partner,Type of Climate Finance Project,Year,Volume (in USD) ,Type of Green Manufacturing Project,Year,Volume (in USD) ,Link to Agreement,Sources: 
Morocco,European Union,Programme “Terre Verte”,2023,"€115 million, ",,,,,
Morocco,China,None,,,,,,,
Morocco,Gulf Countries,None,,,,,,,
Zambia,European Union,Agriculture Investment Initiative by Zanaco and Team Europe:,2021,€30 million,,,,,
Zambia,China,,,,,,,,
Zambia,Gulf Countries,Copper Mines deal,2023,$1.1 billion,,,,,
Senegal,European Union,Sambangalou Hydroelectric Power Station,2021,€388 million,,,,,
Senegal,China,Infrastructure and Green Development,2024,Not specified,,,,,
Senegal,Gulf Countries,,,,,,,,
